Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile	Ribohits.summed	Ribohits.summed.length	ISD.p1.iupred2	ISD.p2.iupred2	Length.p1	Length.p2	RSA.p1	RSA.p2	Disprop.p1	Disprop.p2	ISD.p2.grafted	tai.4.log
YAL033W	0	40.7	NA	NA	NA	0.179553757225434	0.6564	0.038	NA	6	4	NA	NA	73	1	0	0	0.6265	0.5025	3	5	0.224333333333333	0.238	0.199	0.2718	0.187945	NA
YAL034C	1	1.43	0.0054	0.0389075	0.1558225	0.434941888619855	0.0573	0.0033	8	18	27	0.171714285714286	0.189428571428571	99	0	2	0.0204081632653061	0.0341	0.0038	26	17	0.222153846153846	0.171647058823529	0.289846153846154	0.226117647058824	0.017515	-1.01027501192582
YAL034W-A	0	29.9	NA	NA	NA	0.26480830449827	0.287	0.0525	NA	2	12	NA	NA	84	1	0	0	0.0724	0.1643	11	1	0.243545454545455	0.125	0.311818181818182	0.09	0.24268	NA
YAL035W	1	359	0.2428	0.29563	0.5195775	0.427088423153693	0.0298	0.054	19	22	6	0.329166666666667	0.243611111111111	127	0	109	0.865079365079365	0.1254	0.3922	5	21	0.287	0.274714285714286	0.3922	0.434714285714286	0.4421125	-1.56772002508101
YAL036C	0	178	0.1381	0.3284075	0.539295	0.19269620596206	0.1136	0.1524	6	8	NA	0.4582	0.3296	28	1	0	0	NA	0.0242	NA	7	NA	0.249	NA	0.357	0.1546775	-1.13481863847893
YAL038W	1	15578	0.4541	0.522545	0.704695	0.2591434	0.3144	0.0047	6	5	8	0.4254	0.3738	165	0	802	4.89024390243902	0.1938	0.414	7	4	0.296142857142857	0.39525	0.403142857142857	0.6675	0.4592225	-0.828039413100985
YAL039C	1	59.7	0.2905	0.168325	0.364615	0.482894795539033	0.5899	0.1878	10	7	2	0.358888888888889	0.25	68	0	8	0.119402985074627	0.8991	0.845	1	6	0.446	0.292833333333333	0.588	0.482833333333333	0.4608075	-1.33050847329134
YAL040C	1	1.26	0.5959	0.3906575	0.6115025	0.229181551724138	0.5236	0.1703	21	12	9	0.39815	0.3098	176	0	18	0.102857142857143	0.5546	0.8421	8	11	0.314875	0.353545454545455	0.429625	0.439363636363636	0.5524725	-0.546974824188061
YAL041W	0	23.9	NA	NA	NA	0.322936299765808	0.1149	0.0596	1	18	3	NA	NA	60	0	0	0	0.0823	0.3106	2	17	0.406	0.298352941176471	0.4975	0.405529411764706	0.4627675	NA
YAL042W	1	74.8	0.367	0.36183	0.57057	0.27913421686747	0.1867	0.035	6	21	17	0.4568	0.3186	92	0	15	0.164835164835165	0.5184	0.0874	16	20	0.28875	0.2449	0.4138125	0.3691	0.1213625	-1.64525875715697
YAL043C	0	86	NA	NA	NA	0.289632611464968	0.2553	0.0354	NA	13	NA	NA	NA	75	1	0	0	NA	0.0167	NA	12	NA	0.197833333333333	NA	0.226	0.08221	NA
YAL044C	1	207	0.4045	0.2868475	0.49921	0.405495882352941	0.491	0.1191	7	9	18	0.344833333333333	0.2705	81	0	85	1.0625	0.0763	0.3518	17	8	0.221588235294118	0.280125	0.322058823529412	0.350125	0.2308325	-1.7248721899366
YAL046C	1	83.6	0.2544	0.1711075	0.3843825	0.328727118644068	0.6823	0.0453	14	10	34	0.362230769230769	0.263461538461538	121	0	18	0.15	0.0874	0.5534	33	9	0.222878787878788	0.300222222222222	0.327060606060606	0.512	0.36395	-0.742664659000469
YAL047C	0	23	0.0538	0.081795	0.2273175	0.391786816720257	0.3633	0.0243	7	NA	11	0.230333333333333	0.174166666666667	54	1	0	0	0.0867	NA	10	NA	0.238	NA	0.2472	NA	NA	-1.14502413710899
YAL049C	1	80	0.0044	0.01807	0.106875	0.137588617886179	0.0171	0.0053	36	18	9	0.277685714285714	0.212057142857143	135	0	10	0.0746268656716418	0.063	0.0331	8	17	0.3025	0.244	0.430625	0.322411764705882	0.1389525	-1.12570121853358
YAL051W	1	3.56	0.0912	0.1307925	0.3231625	0.23920582617001	0.0438	0.1781	19	16	15	0.367722222222222	0.241333333333333	81	0	4	0.05	0.0428	0.0249	14	15	0.244857142857143	0.2282	0.336928571428571	0.3484	0.0609475	-0.66725300579993
YAL053W	0	22.2	0.2514	0.1240275	0.31161	0.161818135376756	0.8341	0.2264	15	NA	8	0.280642857142857	0.223714285714286	73	1	0	0	0.602	NA	7	NA	0.242285714285714	NA	0.348428571428571	NA	NA	-1.11835565249533
YAL055W	1	4.76	0.0215	0.1170275	0.30947	0.279105	0.0718	0.0897	13	2	8	0.36425	0.259833333333333	79	0	2	0.0256410256410256	0.0508	0.0662	7	1	0.271857142857143	0.159	0.420285714285714	0.291	0.3098675	-1.29868516687699
YAL056W	1	2.64	0.0667	0.061265	0.2042125	0.310884318181818	0.4153	0.0176	14	26	11	0.303153846153846	0.223	99	0	3	0.0306122448979592	0.1715	0.0267	10	25	0.2504	0.21796	0.3454	0.32196	0.02944	-0.934560511928709
YAL058W	1	43.3	0.0106	0.1741775	0.366535	0.289951593625498	0.0119	0.0473	7	5	27	0.3815	0.2135	192	0	2	0.0104712041884817	0.0112	0.0103	26	4	0.219038461538462	0.264	0.334576923076923	0.3145	0.2506875	-1.1036455274896
YAL059W	1	58.7	0.1971	0.1222875	0.2838125	0.440310377358491	0.5813	0.0132	5	36	9	0.22125	0.208	186	0	36	0.194594594594595	0.4522	0.112	8	35	0.30725	0.227085714285714	0.476625	0.316714285714286	0.072715	-0.895940777222071
YAL060W	1	174	NA	NA	NA	0.199136910994764	0.4732	0.0934	1	4	24	NA	NA	85	0	51	0.607142857142857	0.1352	0.7768	23	3	0.231478260869565	0.292333333333333	0.345782608695652	0.426666666666667	0.3761575	NA
YAL062W	0	13.3	0.3426	0.4094575	0.597895	0.228869146608315	0.1165	0.0077	2	22	16	1	0.342	76	0	0	0	0.0174	0.0035	15	21	0.2328	0.169952380952381	0.278133333333333	0.263714285714286	0.00922	NA
YAR002C-A	1	265	0.0378	0.405575	0.599205	0.145180365296804	0.0304	0.0073	3	14	11	0.56	0.322	75	0	68	0.918918918918919	0.0159	0.022	10	13	0.2446	0.247923076923077	0.2943	0.343153846153846	0.137675	NA
YAR002W	1	66.2	NA	NA	NA	0.582493692022264	0.2196	0.1034	1	9	13	NA	NA	95	0	32	0.340425531914894	0.2644	0.0426	12	8	0.27225	0.204375	0.35275	0.296	0.124425	NA
YAR003W	1	10.2	0.2653	0.3016825	0.5163625	0.181231455399061	0.2919	0.0662	9	50	11	0.507	0.29725	496	0	4	0.00808080808080808	0.0591	0.12	10	49	0.2976	0.252571428571429	0.3492	0.363489795918367	0.1155425	-1.09595261282291
YAR007C	0	103	0.0393	0.190225	0.37995	0.300806602254428	0.0854	0.1467	4	NA	15	0.226	0.224	72	1	0	0	0.0667	NA	14	NA	0.235285714285714	NA	0.280428571428571	NA	NA	NA
YAR008W	0	2.03	0.0101	0.0647975	0.2067975	0.164077818181818	0.0672	0.0063	17	NA	8	0.3216875	0.2125625	98	1	0	0	0.025	NA	7	NA	0.239571428571429	NA	0.363571428571429	NA	NA	-1.55609002117228
YAR014C	1	19.7	0.1469	0.1239225	0.3210575	0.6440682651622	0.4003	0.1131	33	6	27	0.363625	0.25703125	177	0	16	0.0909090909090909	0.0335	0.266	26	5	0.206538461538462	0.2122	0.266	0.3716	0.1814525	-1.47682393702109
YAR015W	1	236	0.2494	0.290405	0.5090225	0.233953594771242	0.215	0.0795	15	2	12	0.396714285714286	0.246	96	0	66	0.694736842105263	0.0488	0.4051	11	1	0.227727272727273	0.272	0.330090909090909	0.401	0.3600675	-0.938497601170744
YAR018C	0	0.272	0.1163	0.231865	0.41983	0.230952183908046	0.2412	0.037	4	10	NA	0.225	0.212	63	1	0	0	NA	0.0727	NA	9	NA	0.234444444444444	NA	0.290111111111111	0.1185325	NA
YAR019C	1	5.95	0.0642	0.082645	0.255925	0.152701026694045	0.4035	0.0648	14	2	12	0.253230769230769	0.230769230769231	61	0	2	0.0333333333333333	0.0564	0.2399	11	1	0.192909090909091	0.159	0.229727272727273	0.291	0.3098675	-1.76761163947251
YAR027W	1	17.1	0.0514	0.05931	0.2203325	0.131766382978723	0.1774	0.0226	37	12	9	0.317666666666667	0.234861111111111	186	0	12	0.0648648648648649	0.0373	0.0334	8	11	0.209625	0.218454545454545	0.300875	0.344	0.074625	-1.12637430010713
YAR033W	0	1.13	0.4218	0.3716375	0.5923075	0.178520512820513	0.3951	0.4866	13	2	12	0.331666666666667	0.281416666666667	94	0	0	0	0.3466	0.3053	11	1	0.273272727272727	0.218	0.458545454545455	0.45	0.3168875	-1.02853672108564
YAR035W	1	7.17	0.138	0.18033	0.3874525	0.240708879184862	0.0548	0.0901	25	4	30	0.300875	0.23125	105	0	7	0.0673076923076923	0.0034	0.0254	29	3	0.198586206896552	0.175333333333333	0.281689655172414	0.302666666666667	0.1994725	-0.952111576597022
YAR042W	1	31.5	0.4562	0.4139	0.6302275	0.408682491582492	0.2547	0.2714	29	5	26	0.408	0.257928571428571	149	0	14	0.0945945945945946	0.2139	0.0905	25	4	0.2398	0.189	0.34932	0.3635	0.2493525	-1.23585655980677
YBL001C	1	30.5	0.0371	0.1990275	0.3782025	0.2788875	0.2565	0.0487	4	13	9	0.249666666666667	0.149666666666667	74	0	80	1.0958904109589	0.3319	0.1158	8	12	0.296	0.239666666666667	0.572	0.282083333333333	0.1707825	NA
YBL002W	1	4182	0.4716	0.3471275	0.5474525	0.46584427480916	0.4861	0.0102	4	9	16	0.307666666666667	0.228	193	0	218	1.13541666666667	0.0516	0.2152	15	8	0.222933333333333	0.20425	0.308	0.345	0.17639	NA
YBL003C	1	738	0.4365	0.326635	0.5275425	0.368431818181818	0.5284	0.0936	4	21	3	0.563	0.278666666666667	172	0	501	2.92982456140351	0.6192	0.299	2	20	0.394	0.2842	0.4365	0.4026	0.2848475	NA
YBL005W	1	2.89	0.5798	0.5621075	0.742345	0.185180942622951	0.2563	0.1225	23	6	25	0.434227272727273	0.322954545454545	286	0	6	0.0210526315789474	0.3304	0.5245	24	5	0.27875	0.3778	0.403583333333333	0.5272	0.5044275	-0.774055464744305
YBL006C	1	2.03	0.2983	0.34865	0.5444	0.321413333333333	0.3316	0.2264	3	15	5	0.346	0.2155	181	0	25	0.138888888888889	0.2403	0.3082	4	14	0.30775	0.2755	0.46825	0.327571428571429	0.3180025	NA
YBL007C	1	107	0.301	0.15131	0.32391	0.561081270096463	0.5256	0.0148	5	2	9	0.18875	0.1865	164	0	8	0.049079754601227	0.0975	0.712	8	1	0.2135	0.366	0.247875	0.407	0.3696875	-1.07058841227857
YBL009W	1	1.37	0.0519	0.1151275	0.2966775	0.319724556213018	0.0809	0.1103	28	4	15	0.348148148148148	0.255814814814815	127	0	7	0.0555555555555556	0.0194	0.2471	14	3	0.239785714285714	0.332	0.349928571428571	0.567333333333333	0.4224475	-1.15594028023056
YBL011W	1	33.8	0.9316	0.5919775	0.7593225	0.265767193675889	0.985	0.1149	12	5	21	0.447363636363636	0.299636363636364	206	0	56	0.273170731707317	0.2557	0.8212	20	4	0.2252	0.224	0.3248	0.265	0.2049525	-0.751371064955234
YBL014C	0	4.5	0.4476	0.2426225	0.4581075	0.296731096196868	0.7475	0.0594	12	NA	3	0.36	0.240090909090909	140	1	0	0	0.5607	NA	2	NA	0.2945	NA	0.4255	NA	NA	-1.1877635866449
YBL015W	1	110	0.1439	0.1491075	0.346245	0.314076045627376	0.4736	0.0427	11	20	9	0.3199	0.2243	283	0	15	0.0531914893617021	0.434	0.3597	8	19	0.2685	0.300473684210526	0.458375	0.433473684210526	0.3337725	-1.23334397584339
YBL018C	0	43.9	0.0305	0.0991	0.2715975	0.138272180451128	0.237	0.0243	12	7	NA	0.329636363636364	0.247272727272727	56	1	0	0	NA	0.0467	NA	6	NA	0.224666666666667	NA	0.309333333333333	0.120635	-1.06859636986628
YBL019W	1	5.61	0.0592	0.24268	0.4252025	0.241384615384615	0.2761	0.0296	2	12	7	0.09	0.125	113	0	2	0.0178571428571429	0.1021	0.3263	6	11	0.301166666666667	0.275727272727273	0.457166666666667	0.421636363636364	0.399625	NA
YBL020W	1	0.158	0.0201	0.1675125	0.35131	0.0456548780487805	0.0797	0.0086	6	8	12	0.2728	0.223	81	0	8	0.1	0.038	0.1512	11	7	0.283818181818182	0.284571428571429	0.362818181818182	0.353571428571429	0.33859	-1.43020844085119
YBL021C	1	28.2	0.6719	0.3792175	0.59318	0.447677777777778	0.5184	0.0644	7	13	19	0.429166666666667	0.3365	169	0	14	0.0833333333333333	0.5417	0.502	18	12	0.305	0.3025	0.508944444444444	0.41925	0.46415	-0.431986500840002
YBL022C	1	259	0.0816	0.1163725	0.2685625	0.399902559576346	0.2649	0.0235	4	15	18	0.134	0.136	75	0	10	0.135135135135135	0.0664	0.1384	17	14	0.252176470588235	0.218428571428571	0.336529411764706	0.238571428571429	0.1199325	NA
YBL023C	1	32.7	0.0127	0.0993075	0.2669125	0.391640322580645	0.0645	0.0078	11	45	38	0.2625	0.2115	187	0	16	0.0860215053763441	0.0071	0.0102	37	44	0.227162162162162	0.233022727272727	0.34	0.323545454545455	0.027345	-0.452202689494153
YBL024W	1	298	NA	NA	NA	0.321139912280702	0.8278	0.0435	1	13	18	NA	NA	126	0	20	0.16	0.1619	0.1574	17	12	0.236176470588235	0.203416666666667	0.332941176470588	0.34175	0.074685	NA
YBL025W	1	2.13	0.2064	0.3098675	0.4983975	0.193135172413793	0.2302	0.0174	2	41	18	0.291	0.159	467	0	14	0.0300429184549356	0.15	0.0829	17	40	0.263823529411765	0.246	0.404411764705882	0.35785	0.142865	NA
YBL026W	1	69.7	0.0141	0.0198775	0.11281	0.156763157894737	0.4469	0.0148	24	33	14	0.315086956521739	0.201652173913043	127	0	53	0.420634920634921	0.1749	0.0065	13	32	0.247	0.201875	0.360538461538462	0.271125	0.0101475	-1.06510785753279
YBL027W	1	2499	0.2709	0.3004525	0.5072275	0.475753968253968	0.4068	0.1003	6	5	2	0.2512	0.2456	85	0	291	3.46428571428571	0.4541	0.1723	1	4	0.342	0.281	0.285	0.2995	0.2230425	-0.765393431617995
YBL028C	1	85.8	NA	NA	NA	0.589840566037736	0.5084	0.155	1	3	9	NA	NA	88	0	119	1.36781609195402	0.3971	0.393	8	2	0.28975	0.2855	0.37775	0.339	0.2680975	NA
YBL030C	1	1011	0.0092	0.26904	0.4548775	0.113201257861635	0.0123	0.0395	2	8	6	0.263	0.143	299	0	147	0.493288590604027	0.0312	0.0104	5	7	0.2862	0.214857142857143	0.4462	0.331	0.1251225	NA
YBL031W	1	4.56	0.2129	0.102325	0.2805225	0.665526035502959	0.6515	0.0527	27	3	2	0.339615384615385	0.262923076923077	160	0	9	0.0566037735849057	0.6531	0.52	1	2	0.366	0.2855	0.407	0.339	0.2680975	-1.14123015522483
YBL032W	1	198	0.6672	0.45144	0.6520075	0.352493700787402	0.9219	0.1428	18	28	21	0.414	0.272588235294118	181	0	44	0.244444444444444	0.5609	0.3712	20	27	0.26055	0.23562962962963	0.3462	0.356185185185185	0.2041125	-1.59012306475343
YBL033C	0	118	0.3845	0.35703	0.558	0.385294492753623	0.4713	0.0381	4	6	NA	0.443	0.259666666666667	66	1	0	0	NA	0.4257	NA	5	NA	0.2506	NA	0.4224	0.374865	NA
YBL035C	0	102	0.0199	0.1797925	0.3538825	0.350778581560284	0.0548	0.0375	3	7	NA	0.1015	0.156	45	1	0	0	NA	0.0137	NA	6	NA	0.203333333333333	NA	0.259	0.13468	NA
YBL036C	0	144	NA	NA	NA	0.248030739299611	0.3677	0.0245	1	3	NA	NA	NA	145	1	0	0	NA	0.4278	NA	2	NA	0.206	NA	0.35	0.3040525	NA
YBL037W	0	19.7	0.0094	0.0434275	0.17102	0.164676682926829	0.0425	0.0062	17	NA	8	0.24675	0.217625	110	1	0	0	0.0466	NA	7	NA	0.250285714285714	NA	0.385857142857143	NA	NA	-1.39863500952012
YBL038W	1	37.2	0.4014	0.4127275	0.6065625	0.297497413793103	0.3237	0.1197	3	14	12	0.404	0.319	59	0	34	0.586206896551724	0.2041	0.1822	11	13	0.244818181818182	0.236	0.327363636363636	0.286615384615385	0.1945775	NA
YBL040C	0	79.5	0.0292	0.2314975	0.43305	0.00812602739726027	0.0173	0.0034	6	NA	8	0.3546	0.3034	66	1	0	0	0.0824	NA	7	NA	0.327571428571429	NA	0.41	NA	NA	-1.35589555998421
YBL041W	0	10.8	0.0254	0.0872625	0.23595	0.221701659751037	0.2283	0.0938	7	NA	6	0.132	0.148	47	1	0	0	0.1433	NA	5	NA	0.23	NA	0.3302	NA	NA	-1.33904766245421
YBL042C	0	35.2	NA	NA	NA	0.0978882629107981	0.0278	0.109	NA	13	5	NA	NA	50	1	0	0	0.0306	0.0849	4	12	0.2895	0.253083333333333	0.283	0.3995	0.3828875	NA
YBL043W	1	0.113	0.0651	0.04082	0.1531	0.573488326848249	0.4211	0.057	33	2	4	0.3260625	0.22528125	195	0	8	0.0412371134020619	0.2995	0.4292	3	1	0.346333333333333	0.342	0.457	0.285	0.37919	-0.582750035098229
YBL045C	1	387	0.1802	0.314365	0.509165	0.238322319474836	0.0888	0.0167	3	11	13	0.335	0.2545	181	0	206	1.14444444444444	0.0673	0.0153	12	10	0.246	0.1893	0.309916666666667	0.2468	0.05406	NA
YBL046W	1	19.1	0.5482	0.3300025	0.554325	0.52073537414966	0.6364	0.0655	14	4	54	0.415846153846154	0.274846153846154	179	0	12	0.0674157303370786	0.1786	0.6778	53	3	0.241962264150943	0.299	0.354509433962264	0.421666666666667	0.3271575	-0.950997989009677
YBL047C	1	144	0.0061	0.007915	0.0790075	0.590495148443157	0.3135	0.0032	34	17	3	0.319939393939394	0.206909090909091	212	0	62	0.293838862559242	0.2159	0.0583	2	16	0.2125	0.221375	0.454	0.3601875	0.078625	-0.920456080516125
YBL050W	0	118	NA	NA	NA	0.192714383561644	0.343	0.0192	NA	NA	16	NA	NA	68	1	0	0	0.0623	NA	15	NA	0.229866666666667	NA	0.268666666666667	NA	NA	NA
YBL051C	1	52.6	0.0441	0.042705	0.1676325	0.597231586826347	0.4383	0.0552	30	8	23	0.284275862068965	0.216448275862069	446	0	25	0.0561797752808989	0.0104	0.0533	22	7	0.211090909090909	0.179857142857143	0.244636363636364	0.241714285714286	0.0879075	-1.76761163947251
YBL052C	0	3.38	0.6077	0.0806975	0.2307	0.340765222623345	0.5557	0.4595	9	14	NA	0.240625	0.183	72	1	0	0	NA	0.6475	NA	13	NA	0.221615384615385	NA	0.315076923076923	0.1150575	-2.07280662013309
YBL054W	1	11.6	0.233	0.3213775	0.5315925	0.614310285714286	0.3895	0.1273	6	2	10	0.3832	0.3022	146	0	7	0.0482758620689655	0.1264	0.2399	9	1	0.269777777777778	0.278	0.389666666666667	0.713	0.3533125	-1.04578493895737
YBL055C	0	39.6	0.0275	0.1135075	0.2858775	0.176844019138756	0.126	0.0202	13	NA	21	0.30775	0.236166666666667	93	1	0	0	0.0208	NA	20	NA	0.246	NA	0.3156	NA	NA	-1.39443322994102
YBL056W	1	213	NA	NA	NA	0.321470726495726	0.7442	0.0772	1	13	54	NA	NA	397	0	110	0.277777777777778	0.0329	0.4483	53	12	0.218754716981132	0.263166666666667	0.264792452830189	0.41325	0.2128625	NA
YBL057C	1	25.6	0.0132	0.0679575	0.2153325	0.335761057692308	0.0953	0.0101	19	4	18	0.250277777777778	0.2215	72	0	12	0.169014084507042	0.0229	0.0651	17	3	0.226176470588235	0.331333333333333	0.305470588235294	0.365	0.297895	-0.875933684437578
YBL058W	0	108	0.2541	0.3168875	0.5070275	0.622059338061466	0.3298	0.1049	2	15	NA	0.45	0.218	127	1	0	0	NA	0.5964	NA	14	NA	0.323571428571429	NA	0.497285714285714	0.5728275	NA
YBL059C-A	1	41	0.0943	0.07013	0.2275725	0.315797247706422	0.6906	0.0227	20	19	45	0.268052631578947	0.233157894736842	242	0	28	0.116182572614108	0.054	0.2683	44	18	0.234659090909091	0.250722222222222	0.353113636363636	0.432666666666667	0.1767725	-1.22534821438013
YBL060W	0	2.38	0.0101	0.1131975	0.2729225	0.255041048034935	0.0455	0.0098	6	NA	4	0.2498	0.2096	39	1	0	0	0.0254	NA	3	NA	0.252666666666667	NA	0.263666666666667	NA	NA	-1.06510785753279
YBL061C	0	35.1	0.1763	0.0874575	0.2447875	0.440937931034483	0.654	0.1908	11	NA	5	0.2498	0.1981	55	1	0	0	0.2973	NA	4	NA	0.273	NA	0.30375	NA	NA	-1.66488452252895
YBL064C	1	82	0.1283	0.2683425	0.464715	0.184994252873563	0.1706	0.0588	4	17	3	0.411	0.270333333333333	71	0	30	0.428571428571429	0.1538	0.0315	2	16	0.2965	0.2415625	0.3915	0.3005	0.0670775	NA
YBL066C	1	3.32	0.0806	0.06424	0.20814	0.42435243902439	0.2722	0.0186	18	6	9	0.266647058823529	0.212764705882353	326	0	1	0.00307692307692308	0.0497	0.228	8	5	0.178375	0.2022	0.191875	0.345	0.153985	-1.14469578140979
YBL068W	1	101	0.04	0.145365	0.3265675	0.197896012269939	0.1559	0.0517	9	23	7	0.3045	0.23975	90	0	18	0.202247191011236	0.043	0.004	6	22	0.2265	0.191727272727273	0.304666666666667	0.267136363636364	0.01345	-0.721622459244563
YBL071W-A	1	111	0.5211	0.358525	0.5520625	0.246687804878049	0.3977	0.0397	2	5	11	0.394	0.361	451	0	36	0.08	0.4338	0.4225	10	4	0.3502	0.30875	0.4648	0.4275	0.403945	NA
