Gene	Ribohits.Binary	Abundance	ISD.0.iupred2	ISD.grafted.iupred2	ISD.grafted.sqrt	ISD.ORF.iupred2	ISD.Last10.iupred2	ISD.3UTR.iupred2	Length.0	Length.m1	Length.m2	Disorder.prop.0	RSA.hydrophilicity.0	Length.3UTR	Fragile
YAL022C	0	6.7	NA	NA	NA	0.145737137330754	0.001	0.1185	NA	NA	2	NA	NA	41	1
YAL023C	1	110	0.0173	0.1184975	0.295655667573849	0.159097628458498	0.0263	0.0153	9	2	6	0.31225	0.207125	114	0
YAL025C	1	77.6	0.296	0.05166	0.19722200413927	0.481572549019608	0.9296	0.1028	17	11	19	0.2790625	0.213875	202	0
YAL028W	0	10.9	0.0103	0.0528725	0.190822425780741	0.496948106060606	0.0154	0.0051	12	NA	3	0.296636363636364	0.220090909090909	79	1
YAL029C	0	52.1	NA	NA	NA	0.181121753908906	0.176	0.0274	NA	4	NA	NA	NA	60	1
YAL030W	1	36	0.0393	0.135265	0.334037305628681	0.318564102564103	0.0115	0.0057	15	17	10	0.310357142857143	0.237357142857143	111	0
YAL031C	1	7.79	0.3273	0.2374825	0.435774776094751	0.326791184210526	0.4965	0.0247	5	48	21	0.29625	0.23175	164	0
YAL032C	1	19.6	0.8231	0.515515	0.700231243670422	0.529743535620053	0.6549	0.1035	6	4	15	0.5124	0.3256	118	0
YAL033W	0	40.7	NA	NA	NA	0.179553757225434	0.6564	0.038	NA	6	4	NA	NA	73	1
YAL034C	1	1.43	0.0054	0.0389075	0.159838408889079	0.434941888619855	0.0573	0.0033	8	18	27	0.171714285714286	0.189428571428571	99	0
YAL034W-A	0	29.9	NA	NA	NA	0.26480830449827	0.287	0.0525	NA	2	12	NA	NA	84	1
YAL035W	1	359	0.2428	0.29563	0.524866309476979	0.427088423153693	0.0298	0.054	19	22	6	0.329166666666667	0.243611111111111	127	0
YAL036C	0	178	0.1381	0.3284075	0.542438214844788	0.19269620596206	0.1136	0.1524	6	8	NA	0.4582	0.3296	28	1
YAL038W	1	15578	0.4541	0.522545	0.707210909413276	0.2591434	0.3144	0.0047	6	5	8	0.4254	0.3738	165	0
YAL039C	1	59.7	0.2905	0.168325	0.368914207498261	0.482894795539033	0.5899	0.1878	10	7	2	0.358888888888889	0.25	68	0
YAL040C	1	1.26	0.5959	0.3906575	0.615334141485049	0.229181551724138	0.5236	0.1703	21	12	9	0.39815	0.3098	176	0
YAL041W	0	23.9	NA	NA	NA	0.322936299765808	0.1149	0.0596	1	18	3	NA	NA	60	0
YAL042W	1	74.8	0.367	0.36183	0.573709933966202	0.27913421686747	0.1867	0.035	6	21	17	0.4568	0.3186	92	0
YAL043C	0	86	NA	NA	NA	0.289632611464968	0.2553	0.0354	NA	13	NA	NA	NA	75	1
YAL044C	1	207	0.4045	0.2868475	0.502667701603282	0.405495882352941	0.491	0.1191	7	9	18	0.344833333333333	0.2705	81	0
YAL046C	1	83.6	0.2544	0.1711075	0.38989412164674	0.328727118644068	0.6823	0.0453	14	10	34	0.362230769230769	0.263461538461538	121	0
YAL047C	0	23	0.0538	0.081795	0.230699692202846	0.391786816720257	0.3633	0.0243	7	NA	11	0.230333333333333	0.174166666666667	54	1
YAL049C	1	80	0.0044	0.01807	0.121802015186358	0.137588617886179	0.0171	0.0053	36	18	9	0.277685714285714	0.212057142857143	135	0
YAL051W	1	3.56	0.0912	0.1307925	0.332386418495443	0.23920582617001	0.0438	0.1781	19	16	15	0.367722222222222	0.241333333333333	81	0
YAL053W	0	22.2	0.2514	0.1240275	0.319590901684109	0.161818135376756	0.8341	0.2264	15	NA	8	0.280642857142857	0.223714285714286	73	1
YAL055W	1	4.76	0.0215	0.1170275	0.313840680346225	0.279105	0.0718	0.0897	13	2	8	0.36425	0.259833333333333	79	0
YAL056W	1	2.64	0.0667	0.061265	0.214828442733385	0.310884318181818	0.4153	0.0176	14	26	11	0.303153846153846	0.223	99	0
YAL058W	1	43.3	0.0106	0.1741775	0.370250063699902	0.289951593625498	0.0119	0.0473	7	5	27	0.3815	0.2135	192	0
YAL059W	1	58.7	0.1971	0.1222875	0.286242176550668	0.440310377358491	0.5813	0.0132	5	36	9	0.22125	0.208	186	0
YAL060W	1	174	NA	NA	NA	0.199136910994764	0.4732	0.0934	1	4	24	NA	NA	85	0
YAL062W	0	13.3	0.3426	0.4094575	0.597894967975564	0.228869146608315	0.1165	0.0077	2	22	16	1	0.342	76	0
YAR002C-A	1	265	0.0378	0.405575	0.600269955610631	0.145180365296804	0.0304	0.0073	3	14	11	0.56	0.322	75	0
YAR002W	1	66.2	NA	NA	NA	0.582493692022264	0.2196	0.1034	1	9	13	NA	NA	95	0
YAR003W	1	10.2	0.2653	0.3016825	0.520181088855051	0.181231455399061	0.2919	0.0662	9	50	11	0.507	0.29725	496	0
YAR007C	0	103	0.0393	0.190225	0.381779882602603	0.300806602254428	0.0854	0.1467	4	NA	15	0.226	0.224	72	1
YAR008W	0	2.03	0.0101	0.0647975	0.225315217696898	0.164077818181818	0.0672	0.0063	17	NA	8	0.3216875	0.2125625	98	1
YAR014C	1	19.7	0.1469	0.1239225	0.331240441014005	0.6440682651622	0.4003	0.1131	33	6	27	0.363625	0.25703125	177	0
YAR015W	1	236	0.2494	0.290405	0.512940714459386	0.233953594771242	0.215	0.0795	15	2	12	0.396714285714286	0.246	96	0
YAR018C	0	0.272	0.1163	0.231865	0.421749835485041	0.230952183908046	0.2412	0.037	4	10	NA	0.225	0.212	63	1
YAR019C	1	5.95	0.0642	0.082645	0.260278987488271	0.152701026694045	0.4035	0.0648	14	2	12	0.253230769230769	0.230769230769231	61	0
YAR027W	1	17.1	0.0514	0.05931	0.228850956162371	0.131766382978723	0.1774	0.0226	37	12	9	0.317666666666667	0.234861111111111	186	0
YAR033W	0	1.13	0.4218	0.3716375	0.596460255892088	0.178520512820513	0.3951	0.4866	13	2	12	0.331666666666667	0.281416666666667	94	0
YAR035W	1	7.17	0.138	0.18033	0.413443576185361	0.240708879184862	0.0548	0.0901	25	4	30	0.300875	0.23125	105	0
YAR042W	1	31.5	0.4562	0.4139	0.636268568695714	0.408682491582492	0.2547	0.2714	29	5	26	0.408	0.257928571428571	149	0
YBL001C	1	30.5	0.0371	0.1990275	0.380059039981665	0.2788875	0.2565	0.0487	4	13	9	0.249666666666667	0.149666666666667	74	0
YBL002W	1	4182	0.4716	0.3471275	0.549267043986486	0.46584427480916	0.4861	0.0102	4	9	16	0.307666666666667	0.228	193	0
YBL003C	1	738	0.4365	0.326635	0.529371649201198	0.368431818181818	0.5284	0.0936	4	21	3	0.563	0.278666666666667	172	0
YBL005W	1	2.89	0.5798	0.5621075	0.7461223044656	0.185180942622951	0.2563	0.1225	23	6	25	0.434227272727273	0.322954545454545	286	0
YBL006C	1	2.03	0.2983	0.34865	0.545602672881742	0.321413333333333	0.3316	0.2264	3	15	5	0.346	0.2155	181	0
YBL007C	1	107	0.301	0.15131	0.326399722283019	0.561081270096463	0.5256	0.0148	5	2	9	0.18875	0.1865	164	0
YBL009W	1	1.37	0.0519	0.1151275	0.319849849693474	0.319724556213018	0.0809	0.1103	28	4	15	0.348148148148148	0.255814814814815	127	0
YBL011W	1	33.8	0.9316	0.5919775	0.76248941705391	0.265767193675889	0.985	0.1149	12	5	21	0.447363636363636	0.299636363636364	206	0
YBL014C	0	4.5	0.4476	0.2426225	0.461854405550715	0.296731096196868	0.7475	0.0594	12	NA	3	0.36	0.240090909090909	140	1
YBL015W	1	110	0.1439	0.1491075	0.350962846350113	0.314076045627376	0.4736	0.0427	11	20	9	0.3199	0.2243	283	0
YBL018C	0	43.9	0.0305	0.0991	0.277191347072334	0.138272180451128	0.237	0.0243	12	7	NA	0.329636363636364	0.247272727272727	56	1
YBL019W	1	5.61	0.0592	0.24268	0.42520237235285	0.241384615384615	0.2761	0.0296	2	12	7	0.09	0.125	113	0
YBL020W	1	0.158	0.0201	0.1675125	0.354493806272713	0.0456548780487805	0.0797	0.0086	6	8	12	0.2728	0.223	81	0
YBL021C	1	28.2	0.6719	0.3792175	0.596274764391572	0.447677777777778	0.5184	0.0644	7	13	19	0.429166666666667	0.3365	169	0
YBL022C	1	259	0.0816	0.1163725	0.27004207461026	0.399902559576346	0.2649	0.0235	4	15	18	0.134	0.136	75	0
YBL023C	1	32.7	0.0127	0.0993075	0.272322837302663	0.391640322580645	0.0645	0.0078	11	45	38	0.2625	0.2115	187	0
YBL024W	1	298	NA	NA	NA	0.321139912280702	0.8278	0.0435	1	13	18	NA	NA	126	0
YBL025W	1	2.13	0.2064	0.3098675	0.498394595328726	0.193135172413793	0.2302	0.0174	2	41	18	0.291	0.159	467	0
YBL026W	1	69.7	0.0141	0.0198775	0.124284873669125	0.156763157894737	0.4469	0.0148	24	33	14	0.315086956521739	0.201652173913043	127	0
YBL027W	1	2499	0.2709	0.3004525	0.510476913454294	0.475753968253968	0.4068	0.1003	6	5	2	0.2512	0.2456	85	0
YBL028C	1	85.8	NA	NA	NA	0.589840566037736	0.5084	0.155	1	3	9	NA	NA	88	0
YBL030C	1	1011	0.0092	0.26904	0.454880529883737	0.113201257861635	0.0123	0.0395	2	8	6	0.263	0.143	299	0
YBL031W	1	4.56	0.2129	0.102325	0.298129868134029	0.665526035502959	0.6515	0.0527	27	3	2	0.339615384615385	0.262923076923077	160	0
YBL032W	1	198	0.6672	0.45144	0.660962241519992	0.352493700787402	0.9219	0.1428	18	28	21	0.414	0.272588235294118	181	0
YBL033C	0	118	0.3845	0.35703	0.559776972806372	0.385294492753623	0.4713	0.0381	4	6	NA	0.443	0.259666666666667	66	1
YBL035C	0	102	0.0199	0.1797925	0.355080817789382	0.350778581560284	0.0548	0.0375	3	7	NA	0.1015	0.156	45	1
YBL036C	0	144	NA	NA	NA	0.248030739299611	0.3677	0.0245	1	3	NA	NA	NA	145	1
YBL037W	0	19.7	0.0094	0.0434275	0.178407797302299	0.164676682926829	0.0425	0.0062	17	NA	8	0.24675	0.217625	110	1
YBL038W	1	37.2	0.4014	0.4127275	0.607585370617577	0.297497413793103	0.3237	0.1197	3	14	12	0.404	0.319	59	0
YBL040C	0	79.5	0.0292	0.2314975	0.436370931640395	0.00812602739726027	0.0173	0.0034	6	NA	8	0.3546	0.3034	66	1
YBL041W	0	10.8	0.0254	0.0872625	0.239243356892891	0.221701659751037	0.2283	0.0938	7	NA	6	0.132	0.148	47	1
YBL042C	0	35.2	NA	NA	NA	0.0978882629107981	0.0278	0.109	NA	13	5	NA	NA	50	1
YBL043W	1	0.113	0.0651	0.04082	0.183494317122566	0.573488326848249	0.4211	0.057	33	2	4	0.3260625	0.22528125	195	0
YBL045C	1	387	0.1802	0.314365	0.510450782170062	0.238322319474836	0.0888	0.0167	3	11	13	0.335	0.2545	181	0
YBL046W	1	19.1	0.5482	0.3300025	0.557545470705061	0.52073537414966	0.6364	0.0655	14	4	54	0.415846153846154	0.274846153846154	179	0
YBL047C	1	144	0.0061	0.007915	0.0821913413290828	0.590495148443157	0.3135	0.0032	34	17	3	0.319939393939394	0.206909090909091	212	0
YBL050W	0	118	NA	NA	NA	0.192714383561644	0.343	0.0192	NA	NA	16	NA	NA	68	1
YBL051C	1	52.6	0.0441	0.042705	0.193550966005535	0.597231586826347	0.4383	0.0552	30	8	23	0.284275862068965	0.216448275862069	446	0
YBL052C	0	3.38	0.6077	0.0806975	0.235051916392371	0.340765222623345	0.5557	0.4595	9	14	NA	0.240625	0.183	72	1
YBL054W	1	11.6	0.233	0.3213775	0.534816494165484	0.614310285714286	0.3895	0.1273	6	2	10	0.3832	0.3022	146	0
YBL055C	0	39.6	0.0275	0.1135075	0.293047481971887	0.176844019138756	0.126	0.0202	13	NA	21	0.30775	0.236166666666667	93	1
YBL056W	1	213	NA	NA	NA	0.321470726495726	0.7442	0.0772	1	13	54	NA	NA	397	0
YBL057C	1	25.6	0.0132	0.0679575	0.236604984952309	0.335761057692308	0.0953	0.0101	19	4	18	0.250277777777778	0.2215	72	0
YBL058W	0	108	0.2541	0.3168875	0.507028652471518	0.622059338061466	0.3298	0.1049	2	15	NA	0.45	0.218	127	1
YBL059C-A	1	41	0.0943	0.07013	0.240914600403265	0.315797247706422	0.6906	0.0227	20	19	45	0.268052631578947	0.233157894736842	242	0
YBL060W	0	2.38	0.0101	0.1131975	0.275769320648233	0.255041048034935	0.0455	0.0098	6	NA	4	0.2498	0.2096	39	1
YBL061C	0	35.1	0.1763	0.0874575	0.250158797662623	0.440937931034483	0.654	0.1908	11	NA	5	0.2498	0.1981	55	1
YBL064C	1	82	0.1283	0.2683425	0.466648808529874	0.184994252873563	0.1706	0.0588	4	17	3	0.411	0.270333333333333	71	0
YBL066C	1	3.32	0.0806	0.06424	0.225861368440439	0.42435243902439	0.2722	0.0186	18	6	9	0.266647058823529	0.212764705882353	326	0
YBL068W	1	101	0.04	0.145365	0.330633335139064	0.197896012269939	0.1559	0.0517	9	23	7	0.3045	0.23975	90	0
YBL071W-A	1	111	0.5211	0.358525	0.552064543264296	0.246687804878049	0.3977	0.0397	2	5	11	0.394	0.361	451	0
YBL072C	0	816	0.1685	0.3383675	0.535574871412766	0.4241665	0.1208	0.0049	3	NA	2	0.4395	0.3025	110	1
YBL074C	1	62.8	0.154	0.1953875	0.414311495722034	0.233439436619718	0.3952	0.2225	12	14	25	0.359909090909091	0.244272727272727	222	0
YBL075C	0	444	NA	NA	NA	0.419127889060092	0.9195	0.0242	NA	5	15	NA	NA	80	1
YBL076C	1	978	0.0097	0.24116	0.439668077573404	0.156415298507463	0.0548	0.0128	5	22	16	0.3845	0.2705	95	0
YBL078C	1	23.4	0.1564	0.17395	0.353841047573373	0.201936752136752	0.1692	0.0771	4	21	8	0.306666666666667	0.179666666666667	163	0
YBL080C	1	14.1	0.0604	0.2598225	0.475918756582828	0.227941774491682	0.0769	0.5069	8	7	3	0.306857142857143	0.256	104	0
YBL085W	1	50.6	0.3508	0.29582	0.511454844701399	0.555294387755102	0.364	0.249	9	20	6	0.49075	0.255	117	0
YBL087C	1	2124	0.1304	0.24086	0.459866656529279	0.279970072992701	0.2109	0.0503	10	6	22	0.387333333333333	0.276555555555556	104	0
YBL089W	0	1.03	0.0015	0.0260925	0.130048924737677	0.0569281045751634	0.0076	0.0228	10	21	17	0.194	0.152444444444444	64	0
YBL090W	1	13.2	0.0784	0.075605	0.243766204273971	0.428552542372881	0.2554	0.0194	22	21	7	0.357904761904762	0.232333333333333	124	0
YBL091C	1	61.3	0.18	0.238125	0.459833554340878	0.393646080760095	0.349	0.0404	14	2	12	0.413923076923077	0.246846153846154	99	0
YBL091C-A	1	2.99	0.118	0.22931	0.463915666736489	0.238619428571429	0.0039	0.0384	27	19	8	0.398769230769231	0.285846153846154	131	0
YBL092W	1	1148	0.3396	0.2680975	0.463257004738381	0.442799230769231	0.3801	0.0717	3	2	26	0.339	0.2855	148	0
YBL093C	1	55	0.2998	0.142795	0.334669535079992	0.569593181818182	0.8321	0.1631	12	11	43	0.366909090909091	0.244545454545455	149	0
YBL097W	1	9.83	0.0819	0.100495	0.31036510546561	0.451741777188329	0.3493	0.0675	39	49	2	0.360605263157895	0.233868421052632	171	0
YBL099W	1	724	0.0861	0.24871	0.460648296906732	0.23431871559633	0.1032	0.0702	6	2	4	0.4304	0.3102	233	0
YBL101C	1	14.2	0.0342	0.01446	0.0956335050362256	0.49519006266786	0.7667	0.0024	9	29	48	0.18475	0.151	164	0
YBL102W	1	15.9	0.0029	0.1213775	0.293319768434804	0.121020930232558	0.0168	0.0596	8	5	13	0.257857142857143	0.189571428571429	194	0
YBL103C	1	12	0.1743	0.1421075	0.328453354401258	0.588384362139918	0.5102	0.0677	10	17	6	0.313444444444444	0.223	473	0
YBL105C	1	23.4	0.1356	0.161195	0.375277070587041	0.371290616854909	0.3296	0.1511	20	13	7	0.378947368421053	0.271947368421053	136	0
YBL106C	0	3.11	NA	NA	NA	0.188528910891089	0.5416	0.1952	NA	4	3	NA	NA	66	1
YBR001C	1	24.1	0.0463	0.2412625	0.42402184733524	0.245008205128205	0.0643	0.0046	2	8	7	0.113	0.187	68	0
YBR002C	1	109	0.0709	0.1763375	0.382089382163505	0.193594755244755	0.4557	0.0934	12	32	16	0.399818181818182	0.241	118	0
YBR003W	1	36.2	0.3349	0.29137	0.517919155409017	0.272305285412262	0.2187	0.1627	11	9	3	0.4643	0.3027	128	0
YBR004C	0	0.205	2e-04	0.01593	0.102491281623788	0.0137803695150115	0.0024	0.003	11	NA	3	0.2234	0.1656	92	1
YBR005W	1	4.09	0.0918	0.0452775	0.199819571194476	0.478713615023474	0.8549	0.0631	44	2	13	0.38353488372093	0.228558139534884	152	0
YBR006W	1	7.93	0.0644	0.1166225	0.325385104690557	0.177119919517103	0.1324	0.0418	26	3	10	0.28692	0.23296	147	0
YBR008C	1	2.24	0.0876	0.213825	0.425138884782963	0.111826277372263	0.1899	0.0182	10	35	8	0.363666666666667	0.258	159	0
YBR009C	1	4554	0.1363	0.2389725	0.427898291818927	0.322306796116505	0.2041	0.0755	3	2	29	0.415	0.207	167	0
YBR010W	1	1837	0.1526	0.128025	0.305791965835868	0.418277941176471	0.381	0.0542	8	3	17	0.261142857142857	0.216428571428571	164	0
YBR011C	1	1248	0.0362	0.266645	0.468656302116447	0.307605574912892	0.0942	0.0183	5	19	4	0.21375	0.239	111	0
YBR014C	1	33.9	0.4228	0.2048275	0.392372885782011	0.382469458128079	0.4344	0.2887	4	6	16	0.226333333333333	0.211	110	0
YBR015C	0	141	0.0191	0.02988	0.159102897126322	0.192489279731993	0.2288	0.0121	35	NA	8	0.287647058823529	0.1965	141	1
YBR016W	1	21.9	0.2105	0.26206	0.506270749034334	0.59740546875	0.0084	0.0837	47	38	10	0.453434782608696	0.281326086956522	208	0
YBR017C	0	62.1	NA	NA	NA	0.140436383442266	0.1206	0.0264	NA	18	12	NA	NA	101	1
YBR018C	0	2.05	NA	NA	NA	0.241194535519126	0.1414	0.0022	NA	51	15	NA	NA	154	1
YBR019C	1	2.12	0.0055	0.0170925	0.116184601682844	0.211957796852647	0.1143	0.0028	23	19	9	0.268227272727273	0.200272727272727	109	0
YBR020W	0	3.87	0.0023	0.0094375	0.0849281407381405	0.156512689393939	0.031	0.0168	19	28	NA	0.267555555555556	0.185666666666667	157	1
YBR021W	0	1.19	0.0047	0.0224	0.130997308527648	0.0606443917851501	0.1035	0.0025	21	11	13	0.237	0.20655	128	0
YBR022W	1	20.5	0.0726	0.328865	0.522390443471778	0.135893785310734	0.0987	0.0502	3	6	19	0.5975	0.2445	163	0
YBR023C	1	24.8	0.2176	0.3046175	0.501743151528071	0.246074678111588	0.1934	0.0163	3	9	14	0.332	0.2075	201	0
YBR024W	0	21.7	NA	NA	NA	0.190305980066445	0.1054	0.013	NA	NA	NA	NA	NA	3	1
YBR025C	1	1805	0.0091	0.03164	0.146674725889343	0.213247969543147	0.1132	0.1025	13	21	5	0.268583333333333	0.20725	210	0
YBR026C	1	81.8	0.2419	0.4525125	0.640198816961895	0.285989736842105	0.2073	0.1717	3	27	9	0.7185	0.3055	115	0
YBR029C	1	33.9	0.1969	0.24268	0.42520237235285	0.0781155361050328	0.1605	0.0182	2	7	14	0.09	0.125	130	0
YBR030W	0	68	0.0668	0.1021125	0.287354259149239	0.271009601449275	0.2353	0.0668	19	11	2	0.272944444444444	0.224222222222222	57	0
YBR031W	1	873	0.2575	0.27428	0.47007437029537	0.365737569060773	0.472	0.0488	3	6	20	0.257	0.2295	89	0
YBR034C	1	468	0.2307	0.23019	0.461501664629923	0.194976436781609	0.5073	0.0212	15	42	12	0.430071428571429	0.305	189	0
YBR035C	1	106	0.3514	0.303505	0.532866453596445	0.333868859649123	0.3646	0.0685	13	4	10	0.388333333333333	0.264666666666667	98	0
YBR036C	1	35.1	0.0679	0.2706675	0.484079456553846	0.108877804878049	0.0314	0.0092	9	8	32	0.32375	0.257625	193	0
YBR037C	0	30.6	0.0052	0.03722	0.165480206453211	0.201827118644068	0.0612	0.0062	17	3	NA	0.266875	0.206	69	1
YBR038W	1	1.54	0.0047	0.018925	0.128466836622554	0.245776635514019	0.0896	0.0039	52	7	20	0.313274509803922	0.218725490196078	187	0
YBR039W	1	547	NA	NA	NA	0.310611575562701	0.1896	0.101	1	52	12	NA	NA	179	0
YBR041W	1	148	0.0861	0.2742875	0.484312776980896	0.121301494768311	0.0607	0.0315	8	2	7	0.457142857142857	0.259142857142857	143	0
YBR042C	0	19.7	5e-04	0.24268	0.42520237235285	0.104898740554156	0.0011	8e-04	2	NA	4	0.09	0.125	66	1
YBR043C	0	9.21	0.0102	0.05496	0.214915390899681	0.206558345428157	0.0401	0.0093	27	10	5	0.280769230769231	0.238538461538462	130	0
YBR044C	1	2.72	0.2868	0.240845	0.453470424169198	0.212191083916084	0.1992	0.0957	9	8	2	0.40475	0.272875	75	0
YBR046C	1	42.4	0.0072	0.02687	0.146402171456827	0.124640718562874	0.1525	0.0225	29	8	5	0.243571428571429	0.20975	270	0
YBR048W	1	4403	0.2064	0.3279475	0.546685483886134	0.284327564102564	0.1633	0.0143	9	3	8	0.326375	0.29325	216	0
YBR049C	1	123	0.234	0.18997	0.381959355166244	0.623132345679012	0.2472	0.0105	5	16	8	0.29725	0.267	244	0
YBR050C	0	1.51	0.0773	0.16011	0.35150989292973	0.382573668639053	0.2359	0.0669	9	4	NA	0.3155	0.23725	37	1
YBR052C	0	190	NA	NA	NA	0.159248095238095	0.1101	0.014	NA	13	8	NA	NA	56	1
YBR054W	1	69	0.5316	0.2431375	0.427583568892759	0.140106686046512	0.7306	0.028	3	6	8	0.243	0.153	362	0
YBR055C	0	31.8	0.0052	0.0211575	0.127876691295268	0.247339710789766	0.1215	0.0048	25	2	27	0.263625	0.196	92	0
YBR057C	1	33.9	0.3131	0.24062	0.48101842781546	0.554362841530055	0.6185	0.1852	29	12	20	0.334142857142857	0.272464285714286	137	0
YBR058C	0	35.2	NA	NA	NA	0.292253521126761	0.0537	0.0333	NA	NA	NA	NA	NA	19	1
YBR058C-A	1	21.4	1e-04	0.0138225	0.0966091780681139	0.08017875	7e-04	0.0159	13	39	2	0.165916666666667	0.157833333333333	170	0
YBR059C	1	50.6	0.2662	0.273735	0.475343789978467	0.548076805054152	0.5188	0.3532	4	3	30	0.370666666666667	0.316	109	0
YBR060C	0	16.7	0.0762	0.240235	0.44978981773442	0.395687580645161	0.0817	0.01	9	NA	NA	0.35225	0.2495	56	1
YBR061C	1	43.4	0.0548	0.087285	0.236916968516418	0.236733225806452	0.3493	0.11	7	34	13	0.232333333333333	0.203166666666667	152	0
YBR065C	1	38.1	0.6365	0.5472525	0.733365167058958	0.245274175824176	0.5677	0.1271	15	4	2	0.4185	0.325214285714286	357	0
YBR066C	1	8.31	0.414	0.28854	0.487648883208646	0.43074	0.7983	0.2887	3	2	18	0.3905	0.256	98	0
YBR067C	1	335	0.0335	0.056835	0.217585808043281	0.315030952380952	0.1248	0.0098	24	22	10	0.270173913043478	0.242347826086957	137	0
YBR068C	1	240	0.0042	0.3600675	0.553524870763015	0.115330049261084	0.0091	0.0217	2	24	17	0.401	0.272	218	0
YBR069C	1	67.2	0.0216	0.0473975	0.202595362560233	0.132860096930533	0.0522	0.014	46	21	29	0.332488888888889	0.238688888888889	161	0
YBR070C	0	8.54	NA	NA	NA	0.0360092827004219	0.0074	0.0042	NA	6	2	NA	NA	42	1
YBR072W	1	307	0.4341	0.23759	0.435932057298404	0.387627102803738	0.4998	0.0928	6	2	22	0.392	0.2312	165	0
YBR078W	1	377	0.1137	0.3696875	0.561735007266893	0.229115151515152	0.1231	0.0058	2	13	40	0.407	0.366	301	0
YBR079C	1	1156	0.3864	0.1368825	0.341283250620321	0.369466804979253	0.78	0.1583	17	6	23	0.3055625	0.24525	88	0
YBR080C	0	108	NA	NA	NA	0.238278627968338	0.4689	0.0238	NA	22	34	NA	NA	127	1
YBR082C	1	1995	0.103	0.14995	0.377133018355416	0.232692567567568	0.2271	0.0825	49	20	8	0.358604166666667	0.271666666666667	166	0
YBR083W	0	16.8	0.4187	0.357585	0.579378236178474	0.437701234567901	0.6525	0.2099	11	NA	19	0.3776	0.2473	76	1
YBR084C-A	1	1322	0.0548	0.12055	0.282752488355127	0.475753968253968	0.4068	0.0069	5	4	9	0.15225	0.18475	53	0
YBR084W	1	277	0.1667	0.265815	0.502549722342155	0.264096512820513	0.1976	0.2233	26	7	2	0.36388	0.23844	93	0
YBR085W	1	23.2	0.0162	0.33195	0.534881484021165	0.0931231270358306	0.0134	0.0149	4	32	46	0.471	0.23	167	0
YBR086C	1	76	0.3006	0.066165	0.22828752791354	0.30494133192389	0.8686	0.0815	15	4	7	0.264642857142857	0.235142857142857	131	0
YBR087W	0	77.8	0.009	0.0917375	0.27835963698074	0.165590395480226	0.007	0.0088	15	2	10	0.314428571428571	0.246	56	0
YBR088C	0	205	0.1643	0.3098675	0.498394595328726	0.107759302325581	0.063	0.011	2	NA	7	0.291	0.159	40	1
YBR091C	0	1.85	0.3667	0.24963	0.430844194454267	0.188781651376147	0.2819	0.0243	2	13	NA	0.195	0.147	89	1
YBR092C	1	154	0.0746	0.2028975	0.38259387973967	0.170967665952891	0.1509	0.0917	3	6	5	0.1765	0.134	50	0
YBR093C	1	203	0.0197	0.1339725	0.314849030359596	0.167362740899358	0.1137	0.0179	6	5	4	0.2392	0.216	66	0
YBR094W	0	34.6	NA	NA	NA	0.205926029216467	0.1686	0.1731	NA	NA	NA	NA	NA	4	1
